id,full_name,naturalized_or_spousal_surname,pseudonym,Genre,profession_or_qualification,additional_notes
299,Capponi Carlo,Capon Charles,,Male,Merchant,
258,Strozzi Giovanni Maria,Strossy Jeanmarie,,Male,Scholar,
91,Gaddi Niccolò,,,Male,Clergyman,
150,Strozzi Piero,Strossy Pierre,,Male,Military leader,<p>Filippo Strozzi' son</p>
79,Cavalcanti  Lucrezia,Del Bene Lucrezia; d'Elbène Lucrece,Del Bene Lucrezia,Female,Lady-in-waiting to the Queen,<p>Albizzo Del Bene's wife and business woman.</p>
121,Rinieri Andrea,Ragner André,,Male,Merchant,
82,Corboli Francesco,,,Male,Merchant,
65,Bini Piero,Bigni Pierre,,Male,Merchant; banker,<p>He had business in Lyon in company with his brother Giovanni Francesco Bini.</p>
77,Carnesecchi Giovanni Battista,Carnesechy Jean-Baptiste,Carnesecchi Giambattista,Male,Merchant,
78,Cavalcanti Bartolomeo ,,Cavalcanti Baccio,Male,Ambassador,
76,Capponi Piero,Capon Pierre,,Male,Merchant; banker,
53,Aiolli Francesco,de Layolle François,Aiolla o Aiolle Francesco,Male,Musician,
145,Gondi Alfonso,,,Male,Merchant,
58,Albizzi Roberto,Albisse Robert,,Male,Merchant; banker,
57,Albizzi Francesco di Luigi,Albisse François,,Male,Merchant,
69,Buonguglielmi Giovanni,Bonguillaume Jean,,Male,Merchant; banker,
302,Naldini Francesco,,,Male,Merchant,
72,Capponi Francesco,Capon François,,Male,Merchant; banker,
311,Salviati Averardo di Alamanno,Salviaty Averard,,Male,Merchant; banker,
156,Girolami Bernardo,,,Male,Military leader,
297,Dei Piero,,,Male,Merchant,
147,Gondi Giovan Battista,,Gondi Giambattista,Male,Merchant,
75,Capponi Niccolò,Capon Nicolas,,Male,Merchant; banker,
68,Buondelmonti Zanobi,,Buondelmonte Zanobi,Male,Scholar,
62,Bartolini Leonardo,,,Male,Merchant,
154,Capponi Orazio,Capon Horace,,Male,Clergyman,
80,Cavalcanti Giovanni,,,Male,,<p>Lucrezia Cavalcanti's brother.</p>
149,Strozzi Leone,Strossy Lion,,Male,Military leader,
85,Del Bene Albizzo,d'Elbène Albisse,,Male,Merchant; banker,
124,Sertini Andrea,Sertin André,,Male,Merchant,
86,Del Bene Bartolomeo,d'Elbène Barthelemy,Del Bene Baccio,Male,Scholar,
